Sygnatura czasowa,Płeć,Wiek,Miejsce zamieszkania,Wykształcenie,"Miesięczny dochód netto (""na rękę"")",Czy zdarza Ci się kupować kosmetyki zrównoważone?,Które z tych cech posiadanych przez kosmetyki zrównoważone są dla Ciebie najważniejsze lub decydujące przy ich zakupie? (wybierz maksymalnie 3),Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [cena],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [skład],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [marka],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [estetyczne opakowanie],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [posiadane certyfikaty jakości lub atesty],"Jeśli zobaczę reklamę kosmetyku zrównoważonego, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli kosmetyk zrównoważony zostanie polecony przez lubianego przeze mnie influencera, twórcę na social media lub celebrytę, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli zobaczę kosmetyk zrównoważony w kampanii edukacyjnej lub środowiskowej, jest większa szansa, że zdecyduję się na jego zakup.",Często rozmawiam ze znajomymi o kosmetykach zrównoważonych.,Często polecam moim znajomym wypróbowane przeze mnie kosmetyki zrównoważone.,"Uważam, że jestem w stanie zmienić nastawienie lub/i opinię moich znajomych w kwestii kosmetyków zrównoważonych.","Wybierając kosmetyki zrównoważone, często kieruję się opinią lub rekomendacjami znajomych.","Jeśli moi znajomi używają i polecają konkretny kosmetyk zrównoważony, jest większa szansa, że zdecyduję się na jego zakup.","Uważam, że moi znajomi są w stanie wpłynąć na moją opinię lub/i nastawienie w kwestii kosmetyków zrównoważonych.","Zakupię kosmetyki zrównoważone, nawet jeśli będą droższe niż normalne kosmetyki.","W innych sferach życia poza kosmetykami, często sięgam po ekologiczne, przyjazne dla środowiska produkty (np. artykuły gospodarstwa domowego, ubrania czy artykuły spożywcze).",Regularnie segreguję odpady.,Zwracam uwagę na oszczędzanie energii elektrycznej.,"Jeśli nie stosujesz kosmetyków zrównoważonych, które z tych przyczyn są Ci bliskie? (wybierz maksymalnie 3)"
2024-03-07 13:38:33,kobieta,21-25,miejscowość do 100 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), ekologiczne, opakowanie z recyklingu",bardzo ważne,ważne,trochę ważne,średnio ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-08 07:39:53,kobieta,46-50,miejscowość powyżej 500 tys. mieszkańców,wyższe,6001 - 7000,tak,naturalne (min. 95% składników pochodzenia naturalnego),ważne,ważne,ważne,średnio ważne,średnio ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 08:09:52,kobieta,26-30,miejscowość do 250 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), wegańskie",trochę ważne,bardzo ważne,średnio ważne,w ogóle nieważne,bardzo ważne,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-08 08:50:56,inne/nie chcę podawać,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,"ekologiczne, opakowanie z recyklingu, zero-waste (zero odpadów)",bardzo ważne,ważne,średnio ważne,średnio ważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-08 09:27:07,kobieta,26-30,miejscowość do 100 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",bardzo ważne,bardzo ważne,średnio ważne,w ogóle nieważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-08 09:49:53,kobieta,41-45,wieś,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",trochę ważne,bardzo ważne,w ogóle nieważne,średnio ważne,bardzo ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 09:53:21,kobieta,21-25,wieś,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",bardzo ważne,bardzo ważne,w ogóle nieważne,średnio ważne,średnio ważne,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:16:03,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,fair-trade (sprawiedliwy handel),ważne,bardzo ważne,ważne,średnio ważne,ważne,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:18:07,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,zero-waste (zero odpadów),ważne,średnio ważne,w ogóle nieważne,trochę ważne,średnio ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:18:38,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3001 - 4000,tak,"fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,bardzo ważne,trochę ważne,trochę ważne,ważne,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:28:08,kobieta,20 i poniżej,wieś,podstawowe,nie chcę podawać,tak,cruelty-free (nietestowane na zwierzętach),średnio ważne,bardzo ważne,ważne,ważne,bardzo ważne,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:30:00,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, krótki okres przydatności do użycia"
2024-03-08 10:33:22,mężczyzna,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,fair-trade (sprawiedliwy handel),ważne,bardzo ważne,w ogóle nieważne,średnio ważne,bardzo ważne,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:36:26,kobieta,21-25,wieś,wyższe,6001 - 7000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",ważne,ważne,trochę ważne,w ogóle nieważne,trochę ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-08 10:49:09,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, zero-waste (zero odpadów)",ważne,średnio ważne,ważne,ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-08 10:53:15,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,nie chcę podawać,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
2024-03-08 11:27:02,kobieta,31-35,miejscowość do 500 tys. mieszkańców,średnie,3001 - 4000,tak,"bio (min. 50% składników z upraw biologicznych), cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,ważne,w ogóle nieważne,w ogóle nieważne,ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-08 12:22:13,kobieta,36-40,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"bio (min. 50% składników z upraw biologicznych), cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu",bardzo ważne,ważne,ważne,średnio ważne,bardzo ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 12:24:04,kobieta,31-35,miejscowość do 100 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,ważne,ważne,średnio ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 12:29:07,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), wegańskie",trochę ważne,ważne,średnio ważne,w ogóle nieważne,ważne,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 13:30:16,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",bardzo ważne,ważne,ważne,w ogóle nieważne,ważne,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 14:35:30,mężczyzna,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, zero-waste (zero odpadów)",ważne,bardzo ważne,w ogóle nieważne,ważne,trochę ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-08 15:02:30,kobieta,51 i powyżej,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), ekologiczne, fair-trade (sprawiedliwy handel)",ważne,ważne,średnio ważne,ważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 15:59:42,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,ważne,średnio ważne,średnio ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 18:20:45,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,"bio (min. 50% składników z upraw biologicznych), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",ważne,średnio ważne,trochę ważne,średnio ważne,w ogóle nieważne,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-08 18:41:47,mężczyzna,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
2024-03-08 20:02:15,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,ważne,w ogóle nieważne,w ogóle nieważne,ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-08 20:43:03,kobieta,20 i poniżej,wieś,średnie,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",ważne,ważne,trochę ważne,trochę ważne,średnio ważne,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,
2024-03-08 23:46:45,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,średnio ważne,w ogóle nieważne,ważne,średnio ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,
2024-03-09 00:04:45,mężczyzna,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",trochę ważne,ważne,w ogóle nieważne,średnio ważne,ważne,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-09 12:16:34,kobieta,36-40,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,bardzo ważne,średnio ważne,średnio ważne,ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-09 22:21:52,mężczyzna,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,4001 - 5000,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, brak dostrzegalnej różnicy w porównaniu z konwencjonalnymi kosmetykami, niski stopień wiedzy na temat kosmetyków zrównoważonych"
2024-03-10 08:51:10,kobieta,21-25,miejscowość do 250 tys. mieszkańców,wyższe,nie chcę podawać,tak,cruelty-free (nietestowane na zwierzętach),bardzo ważne,ważne,w ogóle nieważne,trochę ważne,ważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 07:44:48,kobieta,26-30,miejscowość do 100 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",średnio ważne,ważne,w ogóle nieważne,trochę ważne,ważne,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 13:03:12,kobieta,31-35,miejscowość do 250 tys. mieszkańców,średnie,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",ważne,bardzo ważne,ważne,średnio ważne,bardzo ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,
2024-03-11 13:37:34,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,średnie,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,bardzo ważne,w ogóle nieważne,średnio ważne,ważne,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,
2024-03-11 16:19:29,kobieta,26-30,miejscowość do 100 tys. mieszkańców,wyższe,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",bardzo ważne,ważne,średnio ważne,ważne,średnio ważne,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 20:12:51,kobieta,21-25,miejscowość do 500 tys. mieszkańców,średnie,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,bardzo ważne,ważne,średnio ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-11 20:13:22,kobieta,20 i poniżej,miejscowość do 100 tys. mieszkańców,średnie,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",średnio ważne,średnio ważne,średnio ważne,średnio ważne,średnio ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-11 20:14:19,kobieta,21-25,miejscowość do 250 tys. mieszkańców,wyższe,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",ważne,bardzo ważne,ważne,średnio ważne,bardzo ważne,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-11 20:18:52,kobieta,21-25,miejscowość do 100 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel)",ważne,bardzo ważne,trochę ważne,w ogóle nieważne,ważne,raczej się zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-11 20:24:38,kobieta,21-25,miejscowość do 500 tys. mieszkańców,wyższe,4001 - 5000,tak,cruelty-free (nietestowane na zwierzętach),bardzo ważne,ważne,w ogóle nieważne,średnio ważne,trochę ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-11 20:31:45,kobieta,21-25,wieś,wyższe,3001 - 4000,tak,"bio (min. 50% składników z upraw biologicznych), naturalne (min. 95% składników pochodzenia naturalnego), zero-waste (zero odpadów)",ważne,bardzo ważne,ważne,średnio ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-11 20:33:30,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3001 - 4000,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
